"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2000","3,869.1431","3,938.1460","4,161.6919","3,828.5020","","-1.37%"
"08/01/2000","3,922.8479","3,431.4189","3,927.2310","3,431.4189","","15.41%"
"07/01/2000","3,399.0920","3,678.7319","3,678.7319","3,399.0920","","-7.68%"
"06/01/2000","3,681.8501","3,483.5439","3,714.3530","3,460.3091","","7.13%"
"05/01/2000","3,436.9131","3,126.4741","3,523.0459","3,126.4741","","11.20%"
"04/01/2000","3,090.8201","3,087.4800","3,116.2371","2,919.5759","","-0.91%"
"03/01/2000","3,119.2339","3,251.4160","3,387.0940","3,073.6350","","-1.16%"
"02/01/2000","3,155.8630","3,013.5190","3,155.8630","2,976.1411","","6.25%"
"01/01/2000","2,970.2930","2,766.7710","3,005.5630","2,689.9790","","7.23%"
"12/01/1999","2,770.0049","2,676.5691","2,811.9541","2,676.5691","","4.22%"
"11/01/1999","2,657.7480","2,586.5830","2,784.2681","2,575.5220","","4.05%"
"10/01/1999","2,554.3870","2,693.7859","2,693.7859","2,475.7849","","-5.16%"
"09/01/1999","2,693.2830","2,552.6641","2,719.9951","2,510.7271","","5.30%"
"08/01/1999","2,557.6250","2,419.0500","2,557.6250","2,415.3601","","7.04%"
