,US_Stock_TR,US_Credit_TR,Commodities_TR,US_Bond_10Y_TR,Risk_Free,US_Stock_XR,US_Credit_XR,Commodities_XR,US_Bond_10Y_XR
2017-01-31,0.01896619487883644,0.004102230061551859,-0.014128922592086868,0.0025422979357725,0.000424009787461,0.01854218509137544,0.0036782202740908592,-0.014552932379547868,0.0021182881483115
2017-02-28,0.039708178764865654,0.01131248929431794,0.0023238502540956496,0.0103651996246193,0.0004323039737159,0.03927587479114975,0.01088018532060204,0.0018915462803797496,0.0099328956509034
2017-03-31,0.0011647620747521348,-0.0012324724045104096,-0.03914610114953554,-0.00111625119057,0.0006145849741192,0.0005501771006329348,-0.0018470573786296095,-0.03976068612365474,-0.0017308361646892001
2017-04-30,0.010270539195507356,0.00997658299326365,-0.021061943972321306,0.0121680357018551,0.0006642346436225,0.009606304551884855,0.00931234834964115,-0.021726178615943805,0.0115038010582326
2017-05-31,0.014072531092810037,0.011624999106868428,-0.015362869344977992,0.0094585122768008,0.0007386583765147,0.013333872716295337,0.010886340730353728,-0.016101527721492693,0.0087198539002861
2017-06-30,0.006241750550943559,0.002454373375522678,-0.019217268832527057,-0.0065702922788594,0.0008130212763268,0.005428729274616759,0.001641352099195878,-0.020030290108853856,-0.0073833135551862
2017-07-31,0.02056280365850882,0.0074719142685026885,0.045847683648314375,0.0032640155204323,0.0008873234469353,0.01967548021157352,0.006584590821567388,0.04496036020137908,0.002376692073497
2017-08-31,0.0030620867698973875,0.00846900525903549,-0.007768451675651211,0.0183548384292505,0.000837795409097,0.0022242913608003876,0.007631209849938489,-0.008606247084748211,0.0175170430201535
2017-09-30,0.020627755782101964,-0.002281505932608896,0.033215909116142806,-0.0163286714668791,0.0008543077507923,0.019773448031309666,-0.003135813683401196,0.032361601365350504,-0.0171829792176714
2017-10-31,0.023334751501988382,0.0040347804328788595,0.038180776331863786,-0.0020960964113257,0.0008873234469353,0.022447428055053082,0.0031474569859435593,0.03729345288492849,-0.002983419858261
2017-11-30,0.030669580718061917,-0.0014018254883025882,0.013820787800348011,-0.001266964226082,0.0010192665680117,0.029650314150050216,-0.002421092056314288,0.012801521232336311,-0.0022862307940937
2017-12-31,0.011118318682830974,0.008526744863156077,0.044124036499753716,0.0039332057424857,0.0010934005891671,0.010024918093663874,0.007433344273988977,0.04303063591058662,0.0028398051533186
2018-01-31,0.05725377894461947,-0.009241693130421558,0.03419201567015073,-0.0255197906850328,0.0011674742711142,0.05608630467350527,-0.010409167401535758,0.03302454139903653,-0.026687264956146997
2018-02-28,-0.03685581181395381,-0.01496487728731244,-0.0333962778641117,-0.0104471077573001,0.0012990121499387,-0.03815482396389251,-0.016263889437251138,-0.0346952900140504,-0.0117461199072388
2018-03-31,-0.025414020168213147,0.0021517039311735875,0.022215935923575403,0.0137448303682671,0.0014057468926966,-0.026819767060909747,0.0007459570384769874,0.020810189030878803,0.0123390834755705
2018-04-30,0.003837109768069835,-0.008518055184628115,0.05037079877807682,-0.0155784075813858,0.001454966905757,0.002382142862312835,-0.009973022090385114,0.04891583187231982,-0.0170333744871428
2018-05-31,0.024082244244804096,0.004501183775890594,0.014472732491002338,0.012877002741045,0.0015369411743291,0.022545303070474997,0.002964242601561494,0.012935791316673238,0.0113400615667159
2018-06-30,0.006154449872648016,-0.005394858477584363,0.013552123302482455,0.0007226252357733,0.0015697102274137,0.004584739645234316,-0.006964568704998063,0.011982413075068754,-0.0008470849916404
2018-07-31,0.03721476479445185,0.007407170907697713,-0.03530602350542922,-0.0069386151657731,0.0016188417051281,0.03559592308932375,0.005788329202569613,-0.036924865210557316,-0.0085574568709012
2018-08-31,0.032583990699538656,0.005440581455540272,0.010773303359568942,0.0111533710248383,0.0016761282769228,0.030907862422615857,0.003764453178617472,0.009097175082646142,0.0094772427479155
2018-09-30,0.0056920706182788106,-0.0032536897331904013,0.03928725755402773,-0.0136919089354404,0.0017579037712718,0.003934166847007011,-0.005011593504462201,0.03752935378275593,-0.0154498127067122
2018-10-31,-0.06834998886769361,-0.013510522043760687,-0.05843344111306137,-0.0057483432106788,0.0018559375353361,-0.07020592640302971,-0.015366459579096787,-0.060289378648397465,-0.007604280746014901
2018-11-30,0.020378083784286183,-0.001909185461695273,-0.11280933873529364,0.0147492803567848,0.0019212348036832,0.018456848980602982,-0.003830420265378473,-0.11473057353897684,0.012828045553101599
2018-12-31,-0.0902898436547529,0.01501006380883041,-0.0775188537745709,0.0304297758091752,0.0019538658918776,-0.0922437095466305,0.013056197916952809,-0.0794727196664485,0.028475909917297603
2019-01-31,0.08013483569189983,0.02093397745571668,0.08988821717028928,0.0077271715977239,0.0019538658918776,0.07818096980002223,0.01898011156383908,0.08793435127841168,0.005773305705846299
2019-02-28,0.03210851327546971,0.003595387985067422,0.0381335703262109,-0.0062184010636846,0.0019701770533127,0.030138336222157006,0.0016252109317547218,0.0361633932728982,-0.008188578116997301
2019-03-31,0.019431281619924246,0.02489911329508332,0.01609188348386792,0.0305880329206711,0.0019783315388433,0.017452950081080946,0.02292078175624002,0.01411355194502462,0.0286097013818278
2019-04-30,0.04048931393952193,0.005567980928911975,0.02849165585998814,-0.0064431196602677,0.0019620218377029,0.03852729210181903,0.003605959091209075,0.02652963402228524,-0.0084051414979706
2019-05-31,-0.0635480335027736,0.014343982552815993,-0.0821344780084231,0.0352612166716753,0.0019375518090325,-0.06548558531180611,0.012406430743783493,-0.08407202981745561,0.03332366486264279
2019-06-30,0.07047670780596915,0.023000692613977636,0.04430431355494546,0.014638317426511,0.0017905934192179,0.06868611438675125,0.021210099194759736,0.04251372013572756,0.0128477240072931
2019-07-31,0.014373109105911164,0.006552222043959555,-0.0021178722373381698,0.0001188220330969,0.0017333788325151,0.012639730273396065,0.0048188432114444546,-0.00385125106985327,-0.0016145567994182
2019-08-31,-0.015841356518145777,0.030360991035792928,-0.05622822322546439,0.0495578228766942,0.0016106549662961,-0.01745201148444188,0.028750336069496826,-0.05783887819176049,0.047947167910398096
2019-09-30,0.018710674837483898,-0.006184718578288173,0.017491521612972516,-0.01498325575761,0.0015615190697231,0.0171491557677608,-0.007746237648011273,0.015930002543249416,-0.0165447748273331
2019-10-31,0.02165901486088595,0.006117359915571052,0.012446627061806215,0.0007128937816261,0.0013647098773525,0.020294304983533448,0.004752650038218552,0.011081917184453715,-0.0006518160957264001
2019-11-30,0.03629905189411575,0.0021659622132421674,-0.00012505798893558406,-0.0066202275293871,0.0012743632726075,0.03502468862150825,0.0008915989406346673,-0.0013994212615430842,-0.007894590801994601
2019-12-31,0.030182811111814756,0.0031492951136524727,0.06987946286861124,-0.0108862547471096,0.0012743632726075,0.028908447839207256,0.0018749318410449726,0.06860509959600374,-0.0121606180197171
2020-01-31,-0.00039212586234349533,0.02375793316138397,-0.10824931937903615,0.0394583378450749,0.0012579269787644,-0.0016500528411078953,0.02250000618261957,-0.10950724635780054,0.0382004108663105
2020-02-29,-0.08231873294630587,0.012903574939646001,-0.0838923600326208,0.0370741905065702,0.0012579269787644,-0.08357665992507027,0.0116456479608816,-0.08515028701138519,0.0358162635278058
2020-03-31,-0.12351349571065617,-0.07474036323917443,-0.29425369109386335,0.042473538150475,0.0002413460452737,-0.12375484175592988,-0.07498170928444814,-0.29449503713913705,0.0422321921052013
2020-04-30,0.12819402479140174,0.052727984294201447,-0.09671541272652939,0.0066328533667154,0.0001165918724463,0.12807743291895543,0.052611392421755145,-0.09683200459897569,0.0065162614942691
2020-05-31,0.04762743737938613,0.01748184624385596,0.16373108354688082,-2.684589810584725e-05,0.0001082688382827,0.047519168541103426,0.01737357740557326,0.16362281470859813,-0.00013511473638854723
2020-06-30,0.01988818896464828,0.020152378214227884,0.05090703987206702,3.499341761667552e-05,0.0001332356553898,0.01975495330925848,0.020019142558838084,0.05077380421667722,-9.824223777312447e-05
2020-07-31,0.05638519336235093,0.03150586404802791,0.03796606473264319,0.0115822768692532,0.0001082688382827,0.056276924524068225,0.03139759520974521,0.03785779589436049,0.0114740080309705
2020-08-31,0.07187979994601834,-0.011540639843810041,0.045850977902074375,-0.0152057562553861,8.329516327321151e-05,0.07179650478274513,-0.011623935007083253,0.04576768273880116,-0.015289051418659312
2020-09-30,-0.03799716499763972,-0.002640277329893581,-0.036393348764639843,0.004055725694173,9.162048384192544e-05,-0.038088785481481646,-0.0027318978137355066,-0.03648496924848177,0.0039641052103310745
2020-10-31,-0.026592680019229653,-0.0017176922299686481,-0.0357468953882073,-0.0168052750663358,8.329516327321151e-05,-0.026675975182502865,-0.0018009873932418596,-0.03583019055148051,-0.01688857022960901
2020-11-30,0.10946365941098035,0.026659919028340084,0.1204054815318405,0.0051120339413668,7.496908027748717e-05,0.10938869033070286,0.026584949948062597,0.12033051245156301,0.005037064861089313
2020-12-31,0.03844857198813356,0.004912413138451699,0.059707316863988114,-0.0070762073046041,7.496908027748717e-05,0.038373602907856075,0.004837444058174212,0.059632347783710626,-0.007151176384881587
2021-01-31,-0.01009624917619234,-0.01219857440373584,0.04944118606645054,-0.0152599515820377,6.66422347088691e-05,-0.01016289141090121,-0.01226521663844471,0.04937454383174167,-0.01532659381674657
2021-02-28,0.027574537649545094,-0.019556710772365204,0.10582407656439652,-0.0287420052550783,3.3327223783574667e-05,0.02754121042576152,-0.01959003799614878,0.10579074934061294,-0.028775332478861874
2021-03-31,0.04379560734264487,-0.013868991285573284,-0.021540363281960184,-0.0251764734360239,2.4996563158685703e-05,0.043770610779486185,-0.01389398784873197,-0.02156535984511887,-0.025201469999182585
2021-04-30,0.053369027112194045,0.011898088499003645,0.08230593647987905,0.0104865976418102,1.6665139084048874e-05,0.053352361973109996,0.011881423359919596,0.082289271340795,0.010469932502726152
2021-05-31,0.006984127269920037,0.007021848651752816,0.025217001187440635,0.0086395639877923,1.6665139084048874e-05,0.0069674621308359885,0.007005183512668767,0.025200336048356586,0.008622898848708252
2021-06-30,0.023345476895568984,0.016647369542802215,0.04292927336282504,0.013898070012855,3.3327223783574667e-05,0.02331214967178541,0.01661404231901864,0.04289594613904146,0.013864742789071426
2021-07-31,0.023754322593721122,0.01209410111563769,0.015742593809437322,0.0213709913282484,4.165712110459907e-05,0.023712665472616523,0.01205244399453309,0.015700936688332723,0.0213293342071438
2021-08-31,0.03040565081251234,-0.0019790007585703817,-0.02301752878039043,-0.003969640221522,4.165712110459907e-05,0.030363993691407742,-0.002020657879674981,-0.023059185901495027,-0.0040112973426265994
2021-09-30,-0.046509384175090984,-0.010570925327589298,0.06033318141692967,-0.0185970082390242,3.3327223783574667e-05,-0.04654271139887456,-0.010604252551372872,0.060299854193146096,-0.018630335462807776
2021-10-31,0.07006129606134426,0.002497342498759769,0.05797056435932246,-0.0012057073770507,4.165712110459907e-05,0.07001963894023966,0.00245568537765517,0.057928907238217864,-0.001247364498155299
2021-11-30,-0.006928760290665026,0.0009161445020020587,-0.10823589708940073,0.012526123348103,4.165712110459907e-05,-0.006970417411769625,0.0008744873808974596,-0.10827755421050533,0.0124844662269984
2021-12-31,0.04481641810716064,-0.0017147861461099811,0.07591811047803398,-0.006865020461615,4.99862552685304e-05,0.04476643185189211,-0.0017647724013785115,0.07586812422276545,-0.00691500671688353
2022-01-31,-0.05174684964309462,-0.03124743542941877,0.1163368881706921,-0.0230722534089767,0.0001249141447667,-0.05187176378786132,-0.03137234957418547,0.1162119740259254,-0.0231971675537434
2022-02-28,-0.029942154424401735,-0.021809301523963653,0.08773828791471239,-0.0020764229867648,0.0002745849373302,-0.030216739361731935,-0.022083886461293854,0.0874637029773822,-0.002351007924095
2022-03-31,0.037129991432832465,-0.02638973914861209,0.09633333442159064,-0.0418581586741655,0.0003659292942366,0.036764062138595864,-0.02675566844284869,0.09596740512735405,-0.0422240879684021
2022-04-30,-0.08720158087452601,-0.04971658875924767,0.05119661537187081,-0.047036443617533,0.0006311378751067,-0.08783271874963271,-0.05034772663435437,0.050565477496764114,-0.0476675814926397
2022-05-31,0.001833949628145648,0.005351511689082988,0.05069723313806307,0.0057806433505946,0.0008130212763268,0.0010209283518188479,0.004538490412756189,0.04988421186173627,0.0049676220742678
2022-06-30,-0.0825436110733131,-0.023500932653133244,-0.0764319669858281,-0.0088714169241359,0.0012332669717645,-0.0837768780450776,-0.024734199624897743,-0.0776652339575926,-0.0101046838959004
2022-07-31,0.0922044440182046,0.029488060442468766,-0.00042276878202063273,0.0292486068377897,0.0018396059010297,0.0903648381171749,0.027648454541439067,-0.0022623746830503326,0.02740900093676
2022-08-31,-0.04078136096557594,-0.026612290260150995,-0.02678561875174912,-0.0386299249618372,0.0021656835180154,-0.042947044483591344,-0.028777973778166394,-0.028951302269764518,-0.040795608479852606
2022-09-30,-0.09209948776769283,-0.053081927734560774,-0.07801228419914674,-0.0533725369955641,0.0025716462189622,-0.09467113398665504,-0.055653573953522974,-0.08058393041810895,-0.0559441832145263
2022-10-31,0.08096129329787738,-0.011146375435703071,0.06704910854188406,-0.018832137815942,0.0030483680766628,0.07791292522121458,-0.014194743512365871,0.06400074046522126,-0.0218805058926048
2022-11-30,0.05588472553719126,0.04917360729089659,-0.017054616534564637,0.0378367626332283,0.0033942459274463,0.05249047960974496,0.045779361363450295,-0.020448862462010938,0.034442516705782
2022-12-31,-0.05761465550458056,-0.0021173492390568205,-0.013798746684112517,-0.0134714965205935,0.0034744950034975,-0.06108915050807806,-0.005591844242554321,-0.017273241687610016,-0.016945991524091
2023-01-31,0.06283426331239328,0.03888927934350095,-0.000874458119308863,0.0329611796055392,0.0037068189305531,0.05912744438184018,0.03518246041294785,-0.0045812770498619634,0.029254360674986102
2023-02-28,-0.024399793943813197,-0.029128559325036996,-0.03825911012314798,-0.0300286061879199,0.0037947872834442,-0.028194581227257397,-0.032923346608481195,-0.042053897406592176,-0.0338233934713641
2023-03-31,0.03671431935844782,0.02562919950228104,-0.01073722534928534,0.039712386479882,0.0038267547616503,0.03288756459679752,0.02180244474063074,-0.01456398011093564,0.0358856317182317
2023-04-30,0.015608883999174816,0.008479483919391573,-0.007585585960259267,0.0061002128444501,0.0040103507726252,0.011598533226549617,0.004469133146766373,-0.011595936732884466,0.0020898620718249
