,Active_Assets,Risk_On_Weight_Sum,Target_Leverage,Actual_Gross_Exposure,Actual_Borrowing
2003-05-31,3.0,0.9128566011673737,2.201253605242553,2.0094288843891444,1.0094288843891444
2003-06-30,4.0,0.9999999999999999,2.0362143478290378,2.0362143478290373,1.0362143478290373
2003-07-31,4.0,1.0,2.0565466550146185,2.0565466550146185,1.0565466550146185
2003-08-31,3.0,0.7247462902206141,1.7973223615467069,1.302602713861529,0.30260271386152904
2003-09-30,3.0,0.72622636089863,1.799121998740218,1.3065698219577782,0.30656982195777815
2003-10-31,4.0,1.0,1.7510747660266417,1.7510747660266417,0.7510747660266417
2003-11-30,3.0,0.7269313377239991,1.7697806118237707,1.2865089876310511,0.28650898763105115
2003-12-31,3.0,0.7279086217773695,1.725065695029076,1.2556901925440347,0.2556901925440347
2004-01-31,4.0,1.0,1.7275590998400268,1.7275590998400268,0.7275590998400268
2004-02-29,4.0,1.0,1.7175824326349587,1.7175824326349587,0.7175824326349587
2004-03-31,4.0,1.0,1.6475664379492676,1.6475664379492676,0.6475664379492676
2004-04-30,4.0,1.0000000000000002,1.6231422788841239,1.6231422788841243,0.6231422788841243
2004-05-31,3.0,0.7292516513877042,1.5266585057928415,1.1133182364545147,0.11331823645451466
2004-06-30,2.0,0.2787454760711711,1.527997969294933,0.4259225213868988,0.0
2004-07-31,2.0,0.28019545402374224,1.5448991602980031,0.4328737216405971,0.0
2004-08-31,3.0,0.8456144158445489,1.565216959471332,1.3235700248533315,0.32357002485333153
2004-09-30,3.0,0.8403256837645516,1.535760193767197,1.2905387349258002,0.2905387349258002
2004-10-31,4.0,1.0000000000000002,1.5196383529614153,1.5196383529614157,0.5196383529614157
2004-11-30,4.0,1.0,1.5058460107054294,1.5058460107054294,0.5058460107054294
2004-12-31,4.0,0.9999999999999999,1.4745788445013501,1.47457884450135,0.4745788445013499
2005-01-31,3.0,0.884766355786109,1.516371487498678,1.3416344750121667,0.3416344750121667
2005-02-28,4.0,1.0,1.528116249085767,1.528116249085767,0.5281162490857669
2005-03-31,4.0,1.0,1.5247203782553609,1.5247203782553609,0.5247203782553609
2005-04-30,4.0,1.0,1.5234207670804465,1.5234207670804465,0.5234207670804465
2005-05-31,4.0,1.0,1.4952877466107524,1.4952877466107524,0.49528774661075237
2005-06-30,3.0,0.886392898759417,1.5097025721692243,1.3381896392096266,0.33818963920962664
2005-07-31,4.0,1.0,1.4615680322472364,1.4615680322472364,0.4615680322472364
2005-08-31,4.0,0.9999999999999998,1.410723891557157,1.4107238915571567,0.4107238915571567
2005-09-30,4.0,0.9999999999999999,1.4171610020430434,1.4171610020430432,0.4171610020430432
2005-10-31,4.0,1.0,1.2757172755344208,1.2757172755344208,0.2757172755344208
2005-11-30,2.0,0.3223335532394884,1.1818676201366287,0.3809555894573375,0.0
2005-12-31,1.0,0.22945097037883025,1.1879319372627921,0.27257213574895134,0.0
2006-01-31,4.0,1.0,1.1638959537861624,1.1638959537861624,0.1638959537861624
2006-02-28,3.0,0.7361394795230082,1.1262582204826954,0.8290831402346408,0.0
2006-03-31,2.0,0.6442516125030738,1.1317966039346279,0.7291617871103868,0.0
2006-04-30,1.0,0.24483692880877378,1.1442441421253615,0.28015322156540357,0.0
2006-05-31,2.0,0.3638960539218657,1.0805377509510719,0.39320342368470274,0.0
2006-06-30,2.0,0.35258688961876006,1.1120221129493768,0.39208441799210225,0.0
2006-07-31,2.0,0.35206457453970946,1.1115468669914266,0.39133627480828365,0.0
2006-08-31,4.0,1.0,1.1823964989490658,1.1823964989490658,0.18239649894906584
2006-09-30,3.0,0.9153255295621419,1.2100657681570124,1.1076040900433373,0.10760409004333726
2006-10-31,3.0,0.9235350663263064,1.2654291571470493,1.1686682005770421,0.16866820057704213
2006-11-30,3.0,0.9260312503750466,1.2621127205240685,1.168755820701155,0.16875582070115502
2006-12-31,3.0,0.9260152511441361,1.2548845729610651,1.1620422529874428,0.1620422529874428
2007-01-31,3.0,0.9275143270227745,1.2165824445346798,1.1283976473103055,0.12839764731030545
2007-02-28,3.0,0.9280755481964647,1.2173836831220208,1.1298240290789008,0.12982402907890078
2007-03-31,3.0,0.926260625793279,1.237411596315748,1.146165639567285,0.146165639567285
2007-04-30,3.0,0.9267618690195909,1.2318535566272761,1.141634904498325,0.14163490449832494
2007-05-31,3.0,0.9322890229355918,1.2876841852730683,1.2004938309378423,0.20049383093784234
2007-06-30,2.0,0.6437292497430909,1.276399804274959,0.8216558883781473,0.0
2007-07-31,3.0,0.7113945296137396,1.28809154050059,0.9163412755538544,0.0
2007-08-31,4.0,1.0,1.2707423079117501,1.2707423079117501,0.27074230791175014
2007-09-30,4.0,1.0,1.3128511740224256,1.3128511740224256,0.31285117402242557
2007-10-31,4.0,1.0,1.327854215054048,1.327854215054048,0.327854215054048
2007-11-30,4.0,1.0000000000000002,1.3183785365465026,1.3183785365465028,0.31837853654650283
2007-12-31,4.0,1.0,1.3479622513721639,1.3479622513721639,0.34796225137216386
2008-01-31,3.0,0.799886455127295,1.3265440418074292,1.0610846111715788,0.06108461117157882
2008-02-29,3.0,0.8109966962349288,1.3783032179992099,1.11779935620733,0.11779935620733006
2008-03-31,3.0,0.8156427043121404,1.4157145588787956,1.1547172513379698,0.15471725133796976
2008-04-30,3.0,0.814173659150778,1.3799073450637807,1.1234842124196136,0.1234842124196136
2008-05-31,3.0,0.8204128702123658,1.376335564256204,1.1291634106467883,0.12916341064678827
2008-06-30,2.0,0.3367281634453805,1.3665457352631636,0.4601544356992822,0.0
2008-07-31,2.0,0.34380774101576456,1.610839599481222,0.5538191238363779,0.0
2008-08-31,2.0,0.3451786551822261,1.5761174377397442,0.5440420975682609,0.0
2008-09-30,2.0,0.34456872042760084,1.6870484442764209,0.581304123743701,0.0
2008-10-31,1.0,0.35779167276530605,1.4000734841780682,0.5009346338984213,0.0
2008-11-30,1.0,0.41843587212158934,1.4288634447391273,0.5978877216420752,0.0
2008-12-31,1.0,0.3482784537092398,1.266747989969345,0.4411810311858111,0.0
2009-01-31,1.0,0.34273628887211666,1.2306844569402429,0.4218002235442951,0.0
2009-02-28,1.0,0.3306338503245403,1.2788719699349875,0.42283836349173465,0.0
2009-03-31,1.0,0.33360042245579263,1.3363040200619412,0.4457915856220376,0.0
2009-04-30,1.0,0.33776777688486503,1.4004186119311473,0.47301628126017214,0.0
2009-05-31,2.0,0.7259321172704185,1.4260551585440713,1.0352192405863,0.035219240586300105
2009-06-30,1.0,0.38240021815474057,1.3885171915685253,0.5309692769674118,0.0
2009-07-31,2.0,0.5501603679088387,1.382261958337952,0.7604657475455996,0.0
2009-08-31,3.0,0.645778596727274,1.3965074082135989,0.9018345943954202,0.0
2009-09-30,3.0,0.6444922629848732,1.392784156193639,0.8976386126747155,0.0
2009-10-31,3.0,0.6442046404433988,1.3860046494315805,0.8928706268399503,0.0
2009-11-30,4.0,1.0,1.3812359854123128,1.3812359854123128,0.38123598541231285
2009-12-31,4.0,1.0,1.3987630393653303,1.3987630393653303,0.3987630393653303
2010-01-31,3.0,0.6545623752557591,1.3883583448195589,0.9087671358912447,0.0
2010-02-28,3.0,0.8915718516117082,1.3932749170535008,1.2422046976015388,0.24220469760153884
2010-03-31,4.0,0.9999999999999998,1.4022104463006717,1.4022104463006715,0.4022104463006715
